Wave,Module_or_Capability,Capability_Type,Target_Scope_Status,Learning_Priority,Upstream_Dependency,Shared_Domain_Dependency,Accounting_Dependency,SaaS_Dependency,Thailand_Localization_Dependency,Learning_Gate,Design_Freeze_Gate,Evidence_Location,Owner,Reviewer,Verification_Status,Gate_Impact,Notes_Unknowns
4,Subscription Commerce,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Sales+Party+Product+Entitlement,Party/Product,DIRECT,MANDATORY,Thailand VAT/invoice evidence,ML-W4-G1,Entitlement + Billing + COA gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Business subscription distinct from SaaS entitlement platform
4,Recurring Billing,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Subscription Commerce+AR+Scheduler,Payment Terms,DIRECT,MANDATORY,Thailand tax invoice/timing evidence,ML-W4-G1,COA+Tax+Scheduler gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Recurring invoice semantics TBD,Must be tenant-safe
4,Promotion / Loyalty,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Product+Pricing+Sales/POS,Party/Product/Pricing,Indirect,MANDATORY,Thailand consumer/tax context where applicable,ML-W4-G1,Pricing + Sales/POS freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Discount vs accounting treatment must reconcile,Loyalty liability if applicable creates accounting dependency
4,Customer Service / Helpdesk,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Party+Product+IAM+Notification,Party/Product,Indirect,MANDATORY,Thailand privacy context,ML-W4-G1,SaaS + Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Service cases may link sales/project,Entitlement to support levels TBD
5,Manufacturing / MRP,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Product+UOM+Inventory+BOM+Planning,Product/Location,DIRECT,MANDATORY,Thailand costing/reporting where applicable,ML-W5-G1,Inventory+COA costing+Shared Domain gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Do not freeze before inventory semantics,Costing financial impact direct
5,BOM / Production Master,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Product+UOM,Product/UOM,Indirect,MANDATORY,None specific until evidence,ML-W5-G1,Shared Product Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Feeds MRP,Version/effective-date semantics TBD
5,Maintenance,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Asset/Equipment+Inventory+HR,Product/Location,Indirect,MANDATORY,Thailand safety/regulatory only if claimed,ML-W5-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Asset vs maintenance equipment boundary TBD,Cost integration may add accounting dependency
5,Quality,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Product+Inventory+MRP,Product/Location,Indirect,MANDATORY,Thailand industry regulation only if claimed,ML-W5-G1,Inventory/MRP domain freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Inspection/control semantics TBD,No industry assumption without evidence
5,Procurement Planning / Replenishment,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Purchase+Inventory+Product,Product/Location,Indirect,MANDATORY,None specific until evidence,ML-W5-G1,Purchase+Inventory freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Planning policy learning after backbone,Forecasting boundary TBD
5,Logistics / Delivery,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Inventory+Sales+Purchase+Location,Party/Product/Location,Indirect,MANDATORY,Thailand address/shipping evidence where applicable,ML-W5-G1,Inventory + Integration gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Carrier connector separated Wave 8,Proof-of-delivery semantics TBD
5,Fleet,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Asset/Equipment+HR+Expense,Party/Asset,Indirect,MANDATORY,Thailand vehicle/tax rules only if claimed,ML-W5-G1,Shared Domain + relevant Accounting gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Fleet accounting bridges require separate evidence,No source architecture cloning
5,Project / Timesheet / Service Delivery,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P5,Party+Product/Service+HR+Sales,Party/Product/Dimension,DIRECT,MANDATORY,Thailand service tax/payroll evidence where applicable,ML-W5-G1,Shared Domain + Sales + COA relevant gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Billing/costing creates financial dependency,Timesheet ownership TBD
6,HR Core / Employee,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,Company+IAM+Party,Employee/Organization,Indirect,MANDATORY,Thailand labor/privacy evidence where claimed,ML-W6-G1,SaaS + People Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Foundation for people modules,Employee vs Party boundary TBD
6,Organization / Position / Job,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Company,Organization,Indirect,MANDATORY,Thailand employment context where applicable,ML-W6-G1,People Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Supports permissions/workflow/payroll,Hierarchy semantics TBD
6,Recruitment,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Organization+Document,Party/Organization,None,MANDATORY,Thailand PDPA/employment evidence where claimed,ML-W6-G1,People + Privacy gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Candidate data lifecycle critical,No payroll dependency until hire
6,Attendance,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Calendar,Employee/Calendar,Indirect,MANDATORY,Thailand labor rules evidence where claimed,ML-W6-G1,People + Localization gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Feeds payroll if configured,Time capture integration TBD
6,Leave,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Calendar+Workflow,Employee/Calendar,Indirect,MANDATORY,Thailand labor leave rules evidence where claimed,ML-W6-G1,People + Workflow gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Can affect payroll,Accrual accounting dependency if applicable
6,Employee Claim,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Expense+Workflow,Employee/Tax,DIRECT,MANDATORY,Thailand VAT/WHT/non-deductible evidence,ML-W6-G1,Expense + COA + Tax gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,User-facing HR claim layer may consume Expense module,Avoid duplicate expense engine
6,Payroll,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Attendance+Leave+Benefits+Tax+Accounting,Employee/Tax,DIRECT,MANDATORY,PRIMARY THAILAND PAYROLL/TAX DEPENDENCY,ML-W6-G1,People + Thailand Payroll/Tax + COA-G08,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,High regulatory and accounting dependency,Thailand-only current localization direction
6,Benefits,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Payroll,Employee,Indirect,MANDATORY,Thailand labor/tax evidence where claimed,ML-W6-G1,People + Payroll gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Benefit taxability creates payroll/accounting dependency,Exact catalog TBD
6,Performance,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+Organization+Workflow,Employee/Organization,None,MANDATORY,Thailand privacy/employment context,ML-W6-G1,People + Workflow gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Performance model independent of payroll unless compensation linked,Exact scope TBD
6,Employee Self-Service,People Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P6,HR Core+IAM+Workflow+Notification,Employee,None,MANDATORY,Thailand privacy context,ML-W6-G1,People + IAM + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Portal/security critical,Consumes multiple people modules
7,FP&A / Planning,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Accounting+Budget+Dimension,Dimension,DIRECT,MANDATORY,Thailand reporting context where applicable,ML-W7-G1,Financial Reporting + Management Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Distinct from transactional budget control,Scenario planning semantics TBD
7,Consolidation,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Multi-company+Accounting+FX+Reporting,Company/Dimension,DIRECT,MANDATORY,Thailand group reporting evidence where applicable,ML-W7-G1,COA-G08 + Multi-company + Reporting Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Requires canonical cross-company classification,Elimination semantics TBD
7,Management Accounting,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Accounting+Dimension+Product/Project,Dimension,DIRECT,MANDATORY,Thailand management reporting context,ML-W7-G1,Accounting + Dimension Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Cost/profit-center semantics,Must not distort statutory accounting
7,BI / Dashboard,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Reporting+Data Governance+IAM,Analytics,Indirect,MANDATORY,Thai labels/localization as applicable,ML-W7-G1,Reporting + Data Governance Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Read-model/analytics architecture TBD,Source dashboard tools reference only
7,KPI / Scorecard,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,BI+Shared Domains,Analytics,Indirect,MANDATORY,None specific until evidence,ML-W7-G1,BI/Analytics Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,KPI definition governance required,No arbitrary metric semantics
