Evidence_ID,Source_Module,Source_Zip_Inventory,Manifest_Name,Category,Preliminary_Classification,Baseline_Status,Intake_Status,Functional_Design_Eligibility,Related_GAP,Source_Evidence_Reference
PS04-EXT-0011,date_range,addons_extra.zip,Date Range,Uncategorized,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0012,deepseek_r1,addons_extra.zip,DeepSeek R1,,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0013,dev_print_cheque,addons_extra.zip,Dynamic Print Cheque - Check writing,Account,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0014,equipment_sequence,addons_extra.zip,Equipment Sequence,SMEsPlus,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0015,full_summarize_bills,addons_extra.zip,full_summarize_bills,Report Designer occ,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0016,hide_smesplus_menu,addons_extra.zip,Hide SMEsPlus Menu Account,Custom,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0017,import_bridge_axis,addons_extra.zip,"Import Sales Orders, Purchase Orders, POS Orders, Chart Account data, Invoice, Stock Inventory, Products, Product attributes, Bill of material(BOM), Payments, Bank Statement, All Entry, Order Picking, Customers, Stocks, Account charts, Sales Pricelist, Supplier,Journal, journal entry using EXCEL or CSV",Import Record,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0018,invoice_promptpay,addons_extra.zip,PromptPay Invoice Report,Accounting / Payment,THAILAND-RELEVANT-COMPANY-EXTRA,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0019,l10n_th_amount_to_text,addons_extra.zip,Thai Localization - Convert Amount Text to Thai,Localization,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0020,l10n_th_base_location,addons_extra.zip,Thai Localization - Base Location,Localisation/Asia,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0021,l10n_th_partner,addons_extra.zip,Thai Localization - Partner,Localisation/Asia,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0022,l10n_th_reports_ext,addons_extra.zip,Thailand - Localization Accounting Reports,Accounting,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0023,l10n_th_withholding_tax,addons_extra.zip,Thai Localization - Withholding Tax,Localization / Accounting,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0024,l10n_th_withholding_tax_cert,addons_extra.zip,Thai Localization - Withholding Tax Certificate,Localization / Accounting,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0025,l10n_th_withholding_tax_cert_form,addons_extra.zip,Thai Localization - Withholding Tax Certificate Form,Report,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0026,l10n_th_withholding_tax_multi,addons_extra.zip,Thai Localization - Withholding Tax (multi taxes),Localization / Accounting,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0027,l10n_th_withholding_tax_report,addons_extra.zip,Thailand Localization - Withholding Tax Report,Accounting,THAILAND-PRIORITY-PENDING,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0028,monday_smesplus_connector,addons_extra.zip,Monday.com SMEsPlus Connector,Productivity,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0029,multi_level_approval,addons_extra.zip,SMEsPlus Approval,Approvals,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0030,multi_level_approval_configuration,addons_extra.zip,SMEsPlus Approval All in One,Approvals,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0031,multi_level_approval_hr,addons_extra.zip,SMEsPlus Approval: HR Extension,Approvals,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0032,nthub_binary_field_preview,addons_extra.zip,Attachment Preview,Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0033,oi_action_file,addons_extra.zip,Client Action File Download,Hidden/Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0034,oi_jasper_report,addons_extra.zip,Jasper Report Integration,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0035,oi_pdf_viewer,addons_extra.zip,PDF Viewer,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0036,om_data_remove,addons_extra.zip,SMEsPlus Remove Data,Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0037,order_line_sequence,addons_extra.zip,Order Lines Sequence,Sales,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0038,partner_company_type,addons_extra.zip,Partner Company Type,,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0039,partner_firstname,addons_extra.zip,Partner first name and last name,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0040,payment_2c2p,addons_extra.zip,2c2p Payment Acquirer,Website,THAILAND-RELEVANT-COMPANY-EXTRA,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0041,print_payment_remittance_adviec,addons_extra.zip,Print payment remittance adviec,Report Designer,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0042,print_voucher_request,addons_extra.zip,Voucher Request,Report Designer,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0043,product_brand_sale,addons_extra.zip,Product Brand in Sale,Sales,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0044,product_category_filter,addons_extra.zip,Product Category Filter,Product,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0045,product_sequence,addons_extra.zip,Product Sequence,SMEsPlus,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0046,product_stock_equipment,addons_extra.zip,Equipment Product Stock,Stock,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0047,product_variant_reference,addons_extra.zip,19_product(variant)_referece,,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0048,purchase_discount_catalog,addons_extra.zip,Purchase Order - Discount Wizard Catalog,Purchase,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0049,purchase_order_lines_discount,addons_extra.zip,Purchase Discount|Purchase Fixed Discount|Purchase Percentage Discount,Purchase Management,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0050,purchase_request,addons_extra.zip,Purchase Request,Purchase Management,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0051,report_xlsx,addons_extra.zip,Base report xlsx,Reporting,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0052,report_xlsx_helper,addons_extra.zip,Report xlsx helpers,Reporting,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0053,sale_gross_profit_record,addons_extra.zip,Sale Gross Profit Records ( Not depend sale_fixed_discount ),Sale,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0054,sale_order_line_price_history,addons_extra.zip,Sale Order Line Price History,Sales Management,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0055,sale_productinfo_ext,addons_extra.zip,Sale Product Information Customization Module,Sales,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0056,smesplus_account_reports,addons_extra.zip,SMEsPlus Account Reports,Accounting,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0057,smesplus_advance_expense_request,addons_extra.zip,Employee Advance Expense Request,Human Resources,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0058,smesplus_custom_title_and_favicon,addons_extra.zip,Custom Title and Favicon,,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0059,smesplus_inventory_lot_filter,addons_extra.zip,SMEsPlus Stock Lot/Serial Filter,Supply Chain/Inventory,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0060,smesplus_product_image,addons_extra.zip,SMEsPlus Product Image in Lines,Sales,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0061,smesplus_purchase_advance_payment,addons_extra.zip,Purchase Advance Payment,Accounting,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0062,smesplus_so_section_bydivision,addons_extra.zip,smesplus_so_section_bydivision,Sales,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0063,smesplus_sol_global_discount,addons_extra.zip,smesplus_sol_global_discount,Sale,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0064,smesplus_special_access_rights,addons_extra.zip,smesplus_special_access_rights,Uncategorized,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0065,smesplus_tax_period_date,addons_extra.zip,Tax Period Date,Accounting,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0066,smesplus_uom_ext,addons_extra.zip,Units of measure,Sales/Sales,COMPANY-SMESPLUS-CUSTOM,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0067,tracking_history,addons_extra.zip,User Tracking Records ( Customization ),Mail Activity,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0068,web_window_title,addons_extra.zip,Web Window Title,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0069,wk_redis_session,addons_extra.zip,Redis Session Store,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
