item_id,matrix_ref,planning_baseline_item,classification,evidence_or_basis,boss_ruling,development_status
CT-17,§2.6,Integration via adapters; must support Make / API / external automation pathway,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R6,R6,NO_DEVELOPMENT_AUTHORIZED
CT-18,§2.6,No vendor-specific integration lock-in,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R6,R6,NO_DEVELOPMENT_AUTHORIZED
CT-19,§2.6,"Payment gateway is a backend service, independent of any storefront",EVIDENCE_CONFIRMED,S6 - payment_2c2p depended on website_sale in the reference; coupling not inherited,R6,NO_DEVELOPMENT_AUTHORIZED
CT-20,§2.7,GitHub = source code / PR / evidence,BOSS_APPROVED_PLANNING_BASELINE,"Boss ruling R7 - organisational direction, no project evidence basis",R7,NO_DEVELOPMENT_AUTHORIZED
CT-21,§2.7,Jira = task execution control,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-22,§2.7,Claude Code = coding agent / executor,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-23,§2.7,ChatGPT / Archimedes = architect / governance / review controller,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-24,§2.7,Codex = code quality audit / technical review,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-25,§2.7,Playwright = primary automated testing; Selenium = fallback only,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-26,§2.7,Figma = UX/UI authority,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-27,§2.7,Google Drive + GitHub = document repository,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-28,§2.7,Make = integration / automation,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7,R7,NO_DEVELOPMENT_AUTHORIZED
CT-29,§2.7,Proxmox / ReadyIDC = infrastructure direction until further freeze,BOSS_APPROVED_PLANNING_BASELINE,Boss ruling R7 - supersedes STEP0303R2 R4 DEFERRED for infrastructure only; cloud vendor still not selected,R7,NO_DEVELOPMENT_AUTHORIZED
CT-30,§2.7,Statutory golden-file tests for every Thai report,EVIDENCE_CONFIRMED,S1/S4 - statutory output correctness cannot be asserted by unit tests alone,R7,NO_DEVELOPMENT_AUTHORIZED
