DELTA_ID,Evidence_ID,Source_Module,Classification,Thailand_Relevance_Status,Business_Group,Function,Category,Preliminary_Classification,Evidence_Citation,Rationale,Execution_Review_Status,Independent_Review_Status
DELTA-011,PS04-EXT-0008,convert_amount_text_to_thai,IN-SCOPE,CONFIRMED,Localization,Thai Amount Text Conversion,Localization,THAILAND-RELEVANT-COMPANY-EXTRA,Row 9 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Converts numeric amounts to Thai language text for official Thai documents,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-012,PS04-EXT-0018,invoice_promptpay,IN-SCOPE,CONFIRMED,Accounting & Finance / Payment Processing,PromptPay Invoice Integration,Accounting / Payment,THAILAND-RELEVANT-COMPANY-EXTRA,Row 19 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Integrates PromptPay QR code generation for Thailand electronic payment processing,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-013,PS04-EXT-0040,payment_2c2p,IN-SCOPE,CONFIRMED,Payment Processing,2c2p Payment Gateway Integration,Website,THAILAND-RELEVANT-COMPANY-EXTRA,Row 41 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Integrates 2c2p (Thailand-based regional payment processor) for online payment processing,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-014,PS04-EXT-0001,app_icon_hide,OUT-OF-SCOPE,NOT_APPLICABLE,UI/UX,General Business Capability,Tools,COMPANY-EXTRA-CANDIDATE,Row 2 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Generally applicable UI customization; not specific to Thailand; suitable for Open ERP baseline,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-015,PS04-EXT-0002,auto_database_backup,OUT-OF-SCOPE,NOT_APPLICABLE,Infrastructure,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 3 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Database backup is universal infrastructure functionality; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-016,PS04-EXT-0003,base_location,OUT-OF-SCOPE,NOT_APPLICABLE,Master Data,General Business Capability,,COMPANY-EXTRA-CANDIDATE,Row 4 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Location master data is generally applicable; generic geographic framework used by many countries,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-017,PS04-EXT-0004,base_location_geonames_import,OUT-OF-SCOPE,NOT_APPLICABLE,Master Data,General Business Capability,Partner Management,COMPANY-EXTRA-CANDIDATE,Row 5 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Geonames location import is universal; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-018,PS04-EXT-0005,bi_print_journal_entries,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,General Business Capability,Account,COMPANY-EXTRA-CANDIDATE,Row 6 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Journal entry printing is generally applicable accounting function,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-019,PS04-EXT-0007,contact_reference_sequence,OUT-OF-SCOPE,NOT_APPLICABLE,Master Data,General Business Capability,,COMPANY-EXTRA-CANDIDATE,Row 8 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Contact sequencing is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-020,PS04-EXT-0009,courier_type,OUT-OF-SCOPE,NOT_APPLICABLE,Logistics,General Business Capability,Technical,COMPANY-EXTRA-CANDIDATE,Row 10 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Courier type classification is generally applicable logistics function,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-021,PS04-EXT-0010,cr_effective_date_entries,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 11 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Effective date entry functionality is generally applicable accounting feature,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-022,PS04-EXT-0011,date_range,OUT-OF-SCOPE,NOT_APPLICABLE,Utilities,General Business Capability,Uncategorized,COMPANY-EXTRA-CANDIDATE,Row 12 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Date range utility is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-023,PS04-EXT-0012,deepseek_r1,OUT-OF-SCOPE,NOT_APPLICABLE,AI/ML,General Business Capability,,COMPANY-EXTRA-CANDIDATE,Row 13 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,AI integration tool is provider-agnostic and generally applicable,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-024,PS04-EXT-0013,dev_print_cheque,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,General Business Capability,Account,COMPANY-EXTRA-CANDIDATE,Row 14 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Check printing is generally applicable accounting function; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-025,PS04-EXT-0014,equipment_sequence,OUT-OF-SCOPE,NOT_APPLICABLE,Asset Management,General Business Capability,SMEsPlus,COMPANY-EXTRA-CANDIDATE,Row 15 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Equipment sequencing is generally applicable business function,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-026,PS04-EXT-0015,full_summarize_bills,OUT-OF-SCOPE,NOT_APPLICABLE,Reporting,General Business Capability,Report Designer occ,COMPANY-EXTRA-CANDIDATE,Row 16 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Bill summarization is generally applicable reporting feature,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-027,PS04-EXT-0016,hide_smesplus_menu,OUT-OF-SCOPE,NOT_APPLICABLE,UI/UX,Company-Specific Customization,Custom,COMPANY-SMESPLUS-CUSTOM,Row 17 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-028,PS04-EXT-0017,import_bridge_axis,OUT-OF-SCOPE,NOT_APPLICABLE,Data Import,General Business Capability,Import Record,COMPANY-EXTRA-CANDIDATE,Row 18 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,General data import bridge is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-029,PS04-EXT-0029,multi_level_approval,OUT-OF-SCOPE,NOT_APPLICABLE,Workflow,General Business Capability,Approvals,COMPANY-EXTRA-CANDIDATE,Row 30 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Multi-level approval workflow is generally applicable business function,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-030,PS04-EXT-0030,multi_level_approval_configuration,OUT-OF-SCOPE,NOT_APPLICABLE,Workflow,General Business Capability,Approvals,COMPANY-EXTRA-CANDIDATE,Row 31 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Approval configuration is generally applicable workflow feature,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-031,PS04-EXT-0031,multi_level_approval_hr,OUT-OF-SCOPE,NOT_APPLICABLE,Human Resources,General Business Capability,Approvals,COMPANY-EXTRA-CANDIDATE,Row 32 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,HR approval workflows are generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-032,PS04-EXT-0032,nthub_binary_field_preview,OUT-OF-SCOPE,NOT_APPLICABLE,Document Management,General Business Capability,Tools,COMPANY-EXTRA-CANDIDATE,Row 33 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Document preview is generally applicable utility; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-033,PS04-EXT-0033,oi_action_file,OUT-OF-SCOPE,NOT_APPLICABLE,Document Management,General Business Capability,Hidden/Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 34 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,File download action is generally applicable infrastructure feature,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-034,PS04-EXT-0034,oi_jasper_report,OUT-OF-SCOPE,NOT_APPLICABLE,Reporting,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 35 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Jasper report integration is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-035,PS04-EXT-0035,oi_pdf_viewer,OUT-OF-SCOPE,NOT_APPLICABLE,Document Management,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 36 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,PDF viewing is generally applicable utility; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-036,PS04-EXT-0036,om_data_remove,OUT-OF-SCOPE,NOT_APPLICABLE,Data Management,General Business Capability,Tools,COMPANY-EXTRA-CANDIDATE,Row 37 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Data cleanup is generally applicable utility; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-037,PS04-EXT-0037,order_line_sequence,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,General Business Capability,Sales,COMPANY-EXTRA-CANDIDATE,Row 38 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Sales order line sequencing is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-038,PS04-EXT-0038,partner_company_type,OUT-OF-SCOPE,NOT_APPLICABLE,Master Data,General Business Capability,,COMPANY-EXTRA-CANDIDATE,Row 39 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Partner company type classification is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-039,PS04-EXT-0039,partner_firstname,OUT-OF-SCOPE,NOT_APPLICABLE,Master Data,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 40 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Partner name components are generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-040,PS04-EXT-0041,print_payment_remittance_adviec,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,General Business Capability,Report Designer,COMPANY-EXTRA-CANDIDATE,Row 42 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Remittance advice printing is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-041,PS04-EXT-0042,print_voucher_request,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,General Business Capability,Report Designer,COMPANY-EXTRA-CANDIDATE,Row 43 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Voucher printing is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-042,PS04-EXT-0043,product_brand_sale,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,General Business Capability,Sales,COMPANY-EXTRA-CANDIDATE,Row 44 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Product branding is generally applicable sales feature; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-043,PS04-EXT-0044,product_category_filter,OUT-OF-SCOPE,NOT_APPLICABLE,Product,General Business Capability,Product,COMPANY-EXTRA-CANDIDATE,Row 45 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Product filtering is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-044,PS04-EXT-0045,product_sequence,OUT-OF-SCOPE,NOT_APPLICABLE,Product,General Business Capability,SMEsPlus,COMPANY-EXTRA-CANDIDATE,Row 46 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Product sequencing is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-045,PS04-EXT-0046,product_stock_equipment,OUT-OF-SCOPE,NOT_APPLICABLE,Inventory,General Business Capability,Stock,COMPANY-EXTRA-CANDIDATE,Row 47 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Equipment stock tracking is generally applicable inventory feature,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-046,PS04-EXT-0047,product_variant_reference,OUT-OF-SCOPE,NOT_APPLICABLE,Product,General Business Capability,,COMPANY-EXTRA-CANDIDATE,Row 48 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Product variant handling is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-047,PS04-EXT-0048,purchase_discount_catalog,OUT-OF-SCOPE,NOT_APPLICABLE,Purchasing,General Business Capability,Purchase,COMPANY-EXTRA-CANDIDATE,Row 49 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Purchase discount management is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-048,PS04-EXT-0049,purchase_order_lines_discount,OUT-OF-SCOPE,NOT_APPLICABLE,Purchasing,General Business Capability,Purchase Management,COMPANY-EXTRA-CANDIDATE,Row 50 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Purchase line discounting is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-049,PS04-EXT-0050,purchase_request,OUT-OF-SCOPE,NOT_APPLICABLE,Purchasing,General Business Capability,Purchase Management,COMPANY-EXTRA-CANDIDATE,Row 51 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Purchase request workflow is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-050,PS04-EXT-0051,report_xlsx,OUT-OF-SCOPE,NOT_APPLICABLE,Reporting,General Business Capability,Reporting,COMPANY-EXTRA-CANDIDATE,Row 52 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Excel reporting is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-051,PS04-EXT-0052,report_xlsx_helper,OUT-OF-SCOPE,NOT_APPLICABLE,Reporting,General Business Capability,Reporting,COMPANY-EXTRA-CANDIDATE,Row 53 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Excel report helpers are generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-052,PS04-EXT-0053,sale_gross_profit_record,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,General Business Capability,Sale,COMPANY-EXTRA-CANDIDATE,Row 54 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Profit analysis is generally applicable sales feature; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-053,PS04-EXT-0054,sale_order_line_price_history,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,General Business Capability,Sales Management,COMPANY-EXTRA-CANDIDATE,Row 55 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Price history tracking is generally applicable; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-054,PS04-EXT-0055,sale_productinfo_ext,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,General Business Capability,Sales,COMPANY-EXTRA-CANDIDATE,Row 56 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Product info extension is generally applicable sales feature; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-055,PS04-EXT-0056,smesplus_account_reports,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,Company-Specific Customization,Accounting,COMPANY-SMESPLUS-CUSTOM,Row 57 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-056,PS04-EXT-0057,smesplus_advance_expense_request,OUT-OF-SCOPE,NOT_APPLICABLE,Human Resources,Company-Specific Customization,Human Resources,COMPANY-SMESPLUS-CUSTOM,Row 58 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-057,PS04-EXT-0058,smesplus_custom_title_and_favicon,OUT-OF-SCOPE,NOT_APPLICABLE,UI/UX,Company-Specific Customization,,COMPANY-SMESPLUS-CUSTOM,Row 59 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-058,PS04-EXT-0059,smesplus_inventory_lot_filter,OUT-OF-SCOPE,NOT_APPLICABLE,Inventory,Company-Specific Customization,Supply Chain/Inventory,COMPANY-SMESPLUS-CUSTOM,Row 60 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-059,PS04-EXT-0060,smesplus_product_image,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,Company-Specific Customization,Sales,COMPANY-SMESPLUS-CUSTOM,Row 61 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-060,PS04-EXT-0061,smesplus_purchase_advance_payment,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,Company-Specific Customization,Accounting,COMPANY-SMESPLUS-CUSTOM,Row 62 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-061,PS04-EXT-0062,smesplus_so_section_bydivision,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,Company-Specific Customization,Sales,COMPANY-SMESPLUS-CUSTOM,Row 63 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-062,PS04-EXT-0063,smesplus_sol_global_discount,OUT-OF-SCOPE,NOT_APPLICABLE,Sales,Company-Specific Customization,Sale,COMPANY-SMESPLUS-CUSTOM,Row 64 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-063,PS04-EXT-0064,smesplus_special_access_rights,OUT-OF-SCOPE,NOT_APPLICABLE,Security,Company-Specific Customization,Uncategorized,COMPANY-SMESPLUS-CUSTOM,Row 65 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-064,PS04-EXT-0065,smesplus_tax_period_date,OUT-OF-SCOPE,NOT_APPLICABLE,Accounting,Company-Specific Customization,Accounting,COMPANY-SMESPLUS-CUSTOM,Row 66 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-065,PS04-EXT-0066,smesplus_uom_ext,OUT-OF-SCOPE,NOT_APPLICABLE,Product,Company-Specific Customization,Sales/Sales,COMPANY-SMESPLUS-CUSTOM,Row 67 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-066,PS04-EXT-0067,tracking_history,OUT-OF-SCOPE,NOT_APPLICABLE,Audit/Logging,General Business Capability,Mail Activity,COMPANY-EXTRA-CANDIDATE,Row 68 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Audit tracking is generally applicable feature; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-067,PS04-EXT-0068,web_window_title,OUT-OF-SCOPE,NOT_APPLICABLE,UI/UX,General Business Capability,Extra Tools,COMPANY-EXTRA-CANDIDATE,Row 69 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Window title customization is generally applicable UI feature; not Thailand-specific,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-068,PS04-EXT-0028,monday_smesplus_connector,OUT-OF-SCOPE,NOT_APPLICABLE,Integration/Productivity,Third-Party Integration,Productivity,COMPANY-SMESPLUS-CUSTOM,Row 29 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,SMEsPlus company-specific customization outside authorized project scope; third-party Monday.com connector not part of standard ERP functional design,REVIEWED BY EXECUTION AGENT,RESTORED BY STEP040207
