evidence_id,research_item_id,phase,domain_id,evidence_type,artifact_name,artifact_path,artifact_version,artifact_timestamp,sha256,source_system,access_status,lineage_status,scope_status,owner,evidence_location,reviewer,verifier,verification_status,gate_impact,notes
EV-DR-013,DR-OUT-006,DR7,CLEAN_ROOM,INDEPENDENT_REVIEW,CLEAN_ROOM_INDEPENDENT_REVIEW.md,06_CLEAN_ROOM_CONTROL/CLEAN_ROOM_INDEPENDENT_REVIEW.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,Independent Clean-Room Review Function,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,ChatGPT L99,ChatGPT L99,PASS_WITH_CONTROL,LEGAL_AND_DOMAIN_REVIEW_OUTSTANDING,Legal/domain-owner sign-off still open
EV-DR-014,DR-OUT-007,DR8,GOVERNANCE,EVIDENCE_GATE_REPORT,DR8_EVIDENCE_GATE_REPORT.md,07_RESEARCH_SUMMARY/DR8_EVIDENCE_GATE_REPORT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,ChatGPT L99,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Evidence Gate Reporter,ChatGPT L99,HOLD,PRIOR_DR8_HOLD,Must be re-run after closure sequence
EV-DR-015,DR-OUT-008,DR9,FINAL_GATE,FINAL_REPORT,DEEP_RESEARCH_CODE_DATABASE_FINAL_REPORT.md,08_FINAL_GATE_PACK/DEEP_RESEARCH_CODE_DATABASE_FINAL_REPORT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,ChatGPT L99,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Evidence Gate Reporter,Boss,HOLD_APPROVED,PRIOR_DR9_HOLD,Boss selected HOLD; closure work authorized
EV-DR-016,DR-GOV-PR-001,DR0,GOVERNANCE,DRAFT_PR,Pull Request 62,TH-PATTARAKRIT/AI-Collaboration-Hub/pull/62,DRAFT,2026-08-28,,GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,PMO,https://github.com/TH-PATTARAKRIT/AI-Collaboration-Hub/pull/62,ChatGPT L99,Boss,OPEN_DRAFT_NOT_MERGED,NO_MERGE_BEFORE_NEW_BOSS_DECISION,PR remains Draft
EV-DR-017,DR-EC01-SOURCE-HASH,EC01,SOURCE,HASH_MANIFEST,SOURCE_MANIFEST.sha256,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/SOURCE_MANIFEST.sha256,2026-08-28,2026-08-28,REGISTER_CONTAINS_SOURCE_HASHES,TEAM_A_SOURCE,ACCESSIBLE,CURRENT_TEAM_A_CHAIN,CURRENT_OBSERVED_SOURCE,Source Evidence Owner,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS_WITH_CONTROL,CLOSES_DR_GAP_001_CANONICAL,Canonical 01_ACCOUNT 02_OTHER addons_extra plus Ksolves source archives have inspectable SHA-256 records
EV-DR-018,DR-EC01-SOURCE-TREE,EC01,SOURCE,SOURCE_TREE_INVENTORY,SOURCE_TREE_INVENTORY.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/SOURCE_TREE_INVENTORY.md,2026-08-28,2026-08-28,f11b1d74731dabd1cbe5e5d0c671c4daee1dc0c3d960cfabd1440f93d5e5faac,TEAM_A_SOURCE,ACCESSIBLE,CURRENT_TEAM_A_CHAIN,CURRENT_OBSERVED_SOURCE,Source Research Lead,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS_WITH_CONTROL,SUPPORTS_EC01_EC02,1504 manifests parsed; 0 parse errors; 93859 files observed; hash shown is MODULE_MASTER_REGISTER_FULL.csv companion hash
EV-DR-019,DR-EC02-LINEAGE,EC02,SOURCE,LINEAGE_RECONCILIATION,SOURCE_BASELINE_RECONCILIATION.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/SOURCE_BASELINE_RECONCILIATION.md,2026-08-28,2026-08-28,,TEAM_A_SOURCE,ACCESSIBLE,RECONCILED,CURRENT_OBSERVED_SOURCE,Source Research Lead,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS_WITH_CONTROL,CLOSES_DR_GAP_002_LINEAGE,1436 rows=1433 unique; +69=1502; +2 Ksolves=1504; approved baseline advancement not self-issued
EV-DR-020,DR-EC03-CLASSD,EC03,CLEAN_ROOM,QUARANTINE_REGISTER,CLEAN_ROOM_QUARANTINE_REGISTER.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/05_QUARANTINE/CLEAN_ROOM_QUARANTINE_REGISTER.md,2026-08-28,2026-08-28,,TEAM_A_SOURCE,ACCESSIBLE,CLASSD_SET_REVERIFIED,CURRENT_CONTROL,Governance / License Reviewer,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS,CLOSES_DR_GAP_004_IDENTITY,12 CLASS-D records named and quarantine retained
EV-DR-021,DR-EC03-KSOLVES,EC03,CLEAN_ROOM,CLASSIFICATION_EXCEPTION,SOURCE_BASELINE_RECONCILIATION.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/SOURCE_BASELINE_RECONCILIATION.md,2026-08-28,2026-08-28,,TEAM_A_SOURCE,ACCESSIBLE,CURRENT_ADDITION_UNCLASSIFIED,CURRENT_OBSERVED_SOURCE,Governance / License Reviewer,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,HOLD,BLOCKS_EC03_CURRENT_1504_CLASSIFICATION,ks_dashboard_ninja and ks_dn_advance are OPL-1 purchased modules but lack approved A/B/C/D classification
EV-DR-022,DR-EC04-DUMP-ID,EC04,DATABASE,DATABASE_DUMP_REGISTER,DATABASE_DUMP_REGISTER.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/DATABASE_DUMP_REGISTER.md,2026-08-28,2026-08-28,d67fff6dbd3a957a5089e3bd7f982b1f8a98b954e8be2e40e6c227a70339d8c0,POSTGRESQL_DUMP,ACCESSIBLE,CURRENT_TEAM_A_CHAIN,REFERENCE_SNAPSHOT,Database Evidence Owner,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS_WITH_CONTROL,CLOSES_DR_GAP_005_IDENTITY,65444053 bytes; PostgreSQL custom format; pg_dump/server 18.4; two copies byte-identical
EV-DR-023,DR-EC04-COLUMN-DELTA,EC04,DATABASE,RECONCILIATION_REFERENCE,DATABASE_DUMP_REGISTER.md,03_Architecture/STATE03_MIGRATION_FACTORY/TEAM_A/01_SOURCE_REGISTRY/DATABASE_DUMP_REGISTER.md,2026-08-28,2026-08-28,,TEAM_A_MAPPING_EVIDENCE,ACCESSIBLE,PRIOR_ROW_LEVEL_RECONCILIATION_REFERENCED,CURRENT_V1_2_REGISTER,Database Research Lead,GitHub commit c44144387061f3cd48665d499641ce0da540a731,Team A,ChatGPT L99,PASS_WITH_CONTROL,REDUCES_DR_GAP_006,13940 historical columns vs 13942 current V1.2 reported row-level reconciled in prior MIG-A-001 evidence; not re-executed here
