candidate_id	module	source_sub_batch	source_gap_id	source_gap_type	severity	source_statement	routing_disposition	mapped_frozen_qids	mapping_rationale	source_neutral_authoring_input	answer_requirement	evidence_requirement	origin	status	coverage_eligible	reconciliation_eligible	frozen_bank_mutation
GMVQ-PREMODEL-BASE-011	base	COMM-G01-B101-S1	GAP-B101S1-011	ISOLATION	HIGH	Parties without an operating company are visible to all operating companies; duplicate-warning search runs elevated across the same-or-shared scope. SaaS tenant isolation must be designed independently	MAP-TO-FROZEN-QIDS	STD-Q27;STD-Q28;STD-Q29;STD-Q36;STD-Q49;G01-BASE-Q013;G01-BASE-Q045	Frozen questions explicitly cover scope ownership, cross-boundary visibility, shared data, and indirect traversal.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Parties without an operating company are visible to all operating companies; duplicate-warning search runs elevated across the same-or-shared scope. SaaS tenant isolation must be designed independently?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus tenant/company isolation decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-012	base	COMM-G01-B101-S1	GAP-B101S1-012	PAYMENT-CONTROL	HIGH	Trust-for-outgoing-payment flag on bank accounts has no approval or segregation of duties in this sub-batch; same user can create and trust an account	MAP-TO-FROZEN-QIDS	STD-Q11;STD-Q12;STD-Q13;STD-Q29;STD-Q30;G01-BASE-Q004;G01-BASE-Q005;G01-BASE-Q010	Trusting payment destinations is an approval/SoD/authorization/audit control.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Trust-for-outgoing-payment flag on bank accounts has no approval or segregation of duties in this sub-batch; same user can create and trust an account?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus SoD decision; check payment sub-batches for extra controls	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-013	base	COMM-G01-B101-S1	GAP-B101S1-013	IRREVERSIBLE-CONTROL	HIGH	Automatic merge makes each group permanent separately; failure leaves partial completion without rollback	MAP-TO-FROZEN-QIDS	STD-Q09;STD-Q43;STD-Q44;STD-Q54;G01-BASE-Q019;G01-BASE-Q024;G01-BASE-Q036	Frozen questions cover partial completion, interruption, conflicts, and retry duplication.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Automatic merge makes each group permanent separately; failure leaves partial completion without rollback?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus decision on batch atomicity and preview	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-014	base	COMM-G01-B101-S1	GAP-B101S1-014	IRREVERSIBLE-CONTROL	HIGH	Hierarchy repair applies bulk corrections that bypass validation and audit	MAP-TO-FROZEN-QIDS	STD-Q29;STD-Q30;STD-Q54;G01-BASE-Q017;G01-BASE-Q018;G01-BASE-Q024	Bulk repair bypass is covered by per-record control, audit, and durable side effects.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Hierarchy repair applies bulk corrections that bypass validation and audit?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus decision whether to offer this at all	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-015	base	COMM-G01-B101-S1	GAP-B101S1-015	RUNTIME-REQUIRED	LOW	Barcode value is company-specific but the uniqueness check scope across companies is not determinable from source alone	MAP-TO-FROZEN-QIDS	STD-Q10;STD-Q27;STD-Q44;G01-BASE-Q026;G01-BASE-Q027;G01-BASE-Q048	Uniqueness under company scope and concurrency is directly covered.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Barcode value is company-specific but the uniqueness check scope across companies is not determinable from source alone?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime test with two operating companies	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-016	base	COMM-G01-B101-S1	GAP-B101S1-016	OUT-OF-SUB-BATCH	LOW	Email parsing/normalisation rules and import de-duplication keys are platform-level and outside S1	MAP-TO-FROZEN-QIDS	STD-Q10;STD-Q54;G01-BASE-Q018;G01-BASE-Q019;G01-BASE-Q026;G01-BASE-Q027	Frozen questions cover duplicate prevention and import/path consistency.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Email parsing/normalisation rules and import de-duplication keys are platform-level and outside S1?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of platform utilities in the platform sub-batch	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-017	base	COMM-G01-B101-S1	GAP-B101S1-017	STATUTORY	HIGH	No consent, retention, erasure or effective-dating semantics for personal data of parties (Thailand PDPA) and no change history; conflict with tax-document retention unresolved	CHANGE-REQUEST-CANDIDATE	STD-Q30;STD-Q39;STD-Q48;STD-Q53;G01-BASE-Q014;G01-BASE-Q016;G01-BASE-Q041;G01-BASE-Q043	Frozen questions cover audit/content/recovery, but Thai PDPA-versus-tax retention needs explicit legal question treatment in a future revision.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: No consent, retention, erasure or effective-dating semantics for personal data of parties (Thailand PDPA) and no change history; conflict with tax-document retention unresolved?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Authoritative PDPA citation; SMEsPlus retention design	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-018	base	COMM-G01-B101-S1	GAP-B101S1-018	DENOMINATOR	MEDIUM	The Controller denominator covers file level only (18 units); levels 3-11 were enumerated by A1 as candidate sub-units in restricted evidence (14 models, 171 methods, 11 constraints, 8 data-record groups, 4 view/action groups, 4 negative-level records) and are not Controller-registered	CONTROL-REMEDIATION	NONE	Denominator level is a control-plane decision, not a module-specific question.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: The Controller denominator covers file level only (18 units); levels 3-11 were enumerated by A1 as candidate sub-units in restricted evidence (14 models, 171 methods, 11 constraints, 8 data-record groups, 4 view/action groups, 4 negative-level records) and are not Controller-registered?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller to calculate and register a multi-level denominator	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-019	base	COMM-G01-B101-S1	GAP-B101S1-019	SEAL	MEDIUM	A1 could not calculate SHA-256 digests for its own manifest: the only permitted shell command verifies the source tree; the manifest lists files with digests marked for Controller calculation	CONTROL-REMEDIATION	NONE	Package sealing is evidence integrity control.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: A1 could not calculate SHA-256 digests for its own manifest: the only permitted shell command verifies the source tree; the manifest lists files with digests marked for Controller calculation?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller calculates digests (approved tool offers an output-hash mode)	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-020	base	COMM-G01-B101-S1	GAP-B101S1-020	RUNTIME-REQUIRED	MEDIUM	Concurrency behaviour (simultaneous edits, check-then-save races for barcode/duplicates, concurrent auto-provisioning and find-or-create) not determinable from S1 source	MAP-TO-FROZEN-QIDS	STD-Q10;STD-Q43;STD-Q44;G01-BASE-Q026;G01-BASE-Q036;G01-BASE-Q037;G01-BASE-Q048	Concurrency, timeout, retry, uniqueness, and stale validation are explicitly frozen.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Concurrency behaviour (simultaneous edits, check-then-save races for barcode/duplicates, concurrent auto-provisioning and find-or-create) not determinable from S1 source?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime concurrency tests	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-021	base	COMM-G01-B101-S1	GAP-B101S1-021	THAILAND-LOCALISATION	MEDIUM	Thai addresses use district and sub-district; reference has street/street 2/city/province/postal code only	CHANGE-REQUEST-CANDIDATE	STD-Q04;STD-Q05	Generic mandatory-data questions exist, but Thai district/sub-district semantics are not explicit in the frozen module bank.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Thai addresses use district and sub-district; reference has street/street 2/city/province/postal code only?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of address-extension modules in other groups; SMEsPlus design	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-022	base	COMM-G01-B101-S1	GAP-B101S1-022	THAILAND-LOCALISATION	LOW	Thai reference data gaps: subdivision names only in Thai script; no Thai tax label; no Thai banks or bank codes; industry uses ISIC not TSIC; no ASEAN country group; PromptPay proxies not modelled	CHANGE-REQUEST-CANDIDATE	STD-Q04;STD-Q05;STD-Q23;STD-Q27;G01-BASE-Q011;G01-BASE-Q013	Generic reference/localisation questions exist; Thai bank, TSIC, ASEAN, PromptPay and tax labels need explicit future-bank treatment.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Thai reference data gaps: subdivision names only in Thai script; no Thai tax label; no Thai banks or bank codes; industry uses ISIC not TSIC; no ASEAN country group; PromptPay proxies not modelled?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus reference-data decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-023	base	COMM-G01-B101-S2	GAP-A1-S2-001	DEPTH-LIMIT	MEDIUM	Per-record dispositions for seeded reference data (about 170 currencies, 93 language rows, 163 sample rates) are aggregated by group; the currency data file was read line by line only for its first 160 lines and characterised by population searches elsewhere	CONTROL-REMEDIATION	NONE	Reference-data row granularity is a denominator/depth decision.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Per-record dispositions for seeded reference data (about 170 currencies, 93 language rows, 163 sample rates) are aggregated by group; the currency data file was read line by line only for its first 160 lines and characterised by population searches elsewhere?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Decision whether per-record dispositions are required for reference data or only group dispositions	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-024	base	COMM-G01-B101-S2	GAP-A1-S2-002	DEPTH-LIMIT	MEDIUM	Field-level and view-level units are enumerated by group with counts rather than one row each	CONTROL-REMEDIATION	NONE	Field/view granularity is a denominator/depth decision.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Field-level and view-level units are enumerated by group with counts rather than one row each?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller confirmation of the denominator level	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-025	base	COMM-G01-B101-S2	GAP-A1-S2-003	DENOMINATOR-LEVEL	MEDIUM	The Controller-computed denominator for this sub-batch is file-level (24 units) while the binding glossary defines eleven unit levels; A1 enumerated lower levels as a supplement and did not edit the denominator	CONTROL-REMEDIATION	NONE	File versus lower-level denominator is a control-plane decision.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: The Controller-computed denominator for this sub-batch is file-level (24 units) while the binding glossary defines eleven unit levels; A1 enumerated lower levels as a supplement and did not edit the denominator?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller statement of whether lower levels are in the Research 100 percent denominator	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-026	base	COMM-G01-B101-S2	GAP-A1-S2-004	SOURCE-OUTSIDE-SUB-BATCH	HIGH	Rounding method, amount comparison, zero test and amount formatting are delegated to shared utilities outside this sub-batch; halfway rounding behaviour is unproven	MAP-TO-FROZEN-QIDS	STD-Q25;STD-Q35;G01-BASE-Q006;G01-BASE-Q007;G01-BASE-Q029	Frozen questions cover rounding, conversion, deterministic configuration, historical stability, and dependencies.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Rounding method, amount comparison, zero test and amount formatting are delegated to shared utilities outside this sub-batch; halfway rounding behaviour is unproven?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of the shared numeric utilities and runtime confirmation with halfway values	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-027	base	COMM-G01-B101-S2	GAP-A1-S2-005	CRITICAL-DECISION-PENDING	HIGH	Preference between a company-specific rate and a more recent shared rate is inferred from query ordering and needs runtime proof and business decision	MAP-TO-FROZEN-QIDS	STD-Q25;STD-Q27;STD-Q49;G01-BASE-Q013;G01-BASE-Q045	Company-specific versus shared rate selection is a scope/shared-data rule.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Preference between a company-specific rate and a more recent shared rate is inferred from query ordering and needs runtime proof and business decision?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime query with both rate kinds present	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-028	base	COMM-G01-B101-S2	GAP-A1-S2-006	RUNTIME-REQUIRED	MEDIUM	Whether a fresh installation without sample data leaves the main company's currency active is not determinable from source	MAP-TO-FROZEN-QIDS	STD-Q03;STD-Q05;STD-Q25;G01-BASE-Q001;G01-BASE-Q006;G01-BASE-Q028;G01-BASE-Q029	Fresh-install defaults and prerequisites are covered by frozen configuration/default questions.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Whether a fresh installation without sample data leaves the main company's currency active is not determinable from source?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Inspect a fresh non-sample database	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-029	base	COMM-G01-B101-S2	GAP-A1-S2-007	SOURCE-OUTSIDE-SUB-BATCH	HIGH	Access grants, record rules and group declarations that govern who may act on the S2 entities live in another sub-batch; the role matrix cannot be completed here	MAP-TO-FROZEN-QIDS	STD-Q02;STD-Q27;STD-Q28;STD-Q29;STD-Q30;G01-BASE-Q004;G01-BASE-Q005;G01-BASE-Q022	Role, scope, record access, audit, alternate path, and direct navigation are frozen.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Access grants, record rules and group declarations that govern who may act on the S2 entities live in another sub-batch; the role matrix cannot be completed here?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of the access-identity sub-batch and reconciliation	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
