Evidence ID,Source Module,Manifest Name,Manifest Category,Version,Ownership Decision,Author Evidence,License Evidence,Ownership Evidence Status,Business Group,Function Candidate (Neutral),Function Role,Thailand Relevance,Declared Dependencies,Missing Dependencies,Database Evidence (Dump Tables),Duplicate Status,Functional Overlap Candidates (Baseline),Clean Room Status,Status
PS04-EXT-0011,date_range,Date Range,Uncategorized,19.0.1.2.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"ACSONE SA/NV, Odoo Community Association (OCA)",LGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-03,Reusable date-range/period definitions,CONFIGURATION-FUNCTION,GENERAL,web,none,date_range;date_range_generator;date_range_type;ir_sequence_date_range,NO-NAME-DUPLICATE,account_reports,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0012,deepseek_r1,DeepSeek R1,,0.1,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Hari,GPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-21,AI assistant integration,INTEGRATION-FUNCTION,GENERAL,base|base_setup|mail,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0013,dev_print_cheque,Dynamic Print Cheque - Check writing,Account,19.0.1.3,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),DevIntelle Consulting Service Pvt.Ltd,not declared,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-03,Cheque printing for payments,SUPPORTING-FUNCTION,GENERAL,account,none,account_payment_dev_print_cheque_wizard_rel;dev_print_cheque_wizard,NO-NAME-DUPLICATE,account_check_printing,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0014,equipment_sequence,Equipment Sequence,SMEsPlus,19.0.1.4,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),"SMEsPlus Co.,Ltd",not declared,CONSISTENT-COMPANY-AUTHORED,BG-10,Equipment reference numbering,SUPPORTING-FUNCTION,GENERAL,account_asset|base|maintenance|product_stock_equipment,none,account_asset_maintenance_equipment_category_rel;maintenance_equipment;maintenance_equipment_category,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0015,full_summarize_bills,full_summarize_bills,Report Designer occ,19.0.0.1,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),"SMEsPlus Co.,Ltd",not declared,CONSISTENT-COMPANY-AUTHORED,BG-03,Vendor bill summarization,REPORTING-FUNCTION,GENERAL,account,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0016,hide_smesplus_menu,Hide SMEsPlus Menu Account,Custom,1.0,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),Phatthraphon Chantaprasit,LGPL-3,CONSISTENT-COMPANY-AUTHORED,BG-01,Menu visibility restriction control,OPTIONAL,GENERAL,web,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0017,import_bridge_axis,"Import Sales Orders, Purchase Orders, POS Orders, Chart Account data, Invoice, Stock Inventory, Products, Product attributes, Bill of material(BOM), Payments, Bank Statement, All Entry, Order Picking, Customers, Stocks, Account charts, Sales Pricelist, Supplier,Journal, journal entry using EXCEL or CSV",Import Record,19.0.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Axis Technolabs,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-20,External data import bridge,INTEGRATION-FUNCTION,GENERAL,account|base|mrp|purchase|sale|sale_management|stock|web,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0018,invoice_promptpay,PromptPay Invoice Report,Accounting / Payment,19.0.1.0,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),SMEsPlus,not declared,CONSISTENT-COMPANY-AUTHORED,BG-20,PromptPay QR payment on customer invoice,INTEGRATION-FUNCTION,HIGH,account,none,not confirmed at table level,NO-NAME-DUPLICATE,account_qr_code_sepa,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0019,l10n_th_amount_to_text,Thai Localization - Convert Amount Text to Thai,Localization,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Amount-in-words rendering in Thai language,SUPPORTING-FUNCTION,HIGH,base,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0020,l10n_th_base_location,Thai Localization - Base Location,Localisation/Asia,19.0.0.0.2,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai administrative geography master data,SUPPORTING-FUNCTION,HIGH,base_location_geonames_import,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0021,l10n_th_partner,Thai Localization - Partner,Localisation/Asia,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai partner identity attributes,SUPPORTING-FUNCTION,HIGH,partner_company_type|partner_firstname,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0022,l10n_th_reports_ext,Thailand - Localization Accounting Reports,Accounting,19.0.1.4,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),SMEsPlus,LGPL-3,CONSISTENT-COMPANY-AUTHORED,BG-02,Thai statutory report extension,REPORTING-FUNCTION,HIGH,l10n_th_reports,none,not confirmed at table level,NO-NAME-DUPLICATE,l10n_th_reports,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0023,l10n_th_withholding_tax,Thai Localization - Withholding Tax,Localization / Accounting,19.0.1.4,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai withholding tax deduction on payment,MAIN-FUNCTION,HIGH,account|l10n_th_reports,none,account_account_create_withholding_tax_cert_rel;account_account_tag_account_withholding_tax_rel;account_withholding_tax;create_withholding_tax_cert;withholding_tax_cert,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0024,l10n_th_withholding_tax_cert,Thai Localization - Withholding Tax Certificate,Localization / Accounting,19.0.1.5,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA),SMEsPlus",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai withholding tax certificate issuance,MAIN-FUNCTION,HIGH,l10n_th_withholding_tax,none,account_account_create_withholding_tax_cert_rel;create_withholding_tax_cert;withholding_tax_cert;withholding_tax_cert_line,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0025,l10n_th_withholding_tax_cert_form,Thai Localization - Withholding Tax Certificate Form,Report,19.0.1.0.2,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA), SMEsPlus",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai withholding tax certificate printed form,REPORTING-FUNCTION,HIGH,l10n_th_amount_to_text|l10n_th_withholding_tax_cert|web,none,account_account_create_withholding_tax_cert_rel;create_withholding_tax_cert;withholding_tax_cert;withholding_tax_cert_line,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0026,l10n_th_withholding_tax_multi,Thai Localization - Withholding Tax (multi taxes),Localization / Accounting,19.0.1.0.2,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai withholding tax with multiple deduction handling,SUPPORTING-FUNCTION,HIGH,account_payment_multi_deduction|l10n_th_withholding_tax,account_payment_multi_deduction,account_account_create_withholding_tax_cert_rel;account_account_tag_account_withholding_tax_rel;account_withholding_tax;create_withholding_tax_cert;withholding_tax_cert,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0027,l10n_th_withholding_tax_report,Thailand Localization - Withholding Tax Report,Accounting,19.0.1.0.1,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai withholding tax filing report preparation,REPORTING-FUNCTION,HIGH,account|date_range|l10n_th_partner|l10n_th_withholding_tax_cert|report_xlsx_helper,none,withholding_tax_report;withholding_tax_report_wizard,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0028,monday_smesplus_connector,Monday.com SMEsPlus Connector,Productivity,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Cybrosys Techno Solutions,AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-20,Work-management platform connector,INTEGRATION-FUNCTION,GENERAL,contacts,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0029,multi_level_approval,SMEsPlus Approval,Approvals,19.0.0.1,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Domiup,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-04,Multi-level approval workflow,MAIN-FUNCTION,GENERAL,mail|product,none,not confirmed at table level,NO-NAME-DUPLICATE,approvals,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0030,multi_level_approval_configuration,SMEsPlus Approval All in One,Approvals,19.0.1.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Domiup,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-04,Approval hierarchy configuration,CONFIGURATION-FUNCTION,GENERAL,multi_level_approval|multi_level_approval_hr|purchase_request,none,not confirmed at table level,NO-NAME-DUPLICATE,approvals,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0031,multi_level_approval_hr,SMEsPlus Approval: HR Extension,Approvals,19.0.1.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Domiup,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-04,Multi-level approval applied to HR requests,SUPPORTING-FUNCTION,GENERAL,hr|multi_level_approval,none,not confirmed at table level,NO-NAME-DUPLICATE,approvals|hr_expense,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0032,nthub_binary_field_preview,Attachment Preview,Tools,19.0.1.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Neoteric Hub,LGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-01,Attachment/file preview capability,TECHNICAL-DEPENDENCY,GENERAL,base|mail|sale|web,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0033,oi_action_file,Client Action File Download,Hidden/Extra Tools,19.0.1.1.1,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Openinside,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-01,File-based action handling utility,TECHNICAL-DEPENDENCY,GENERAL,web,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
